Time,ax,ay,az,gx,gy ,gz ,r ,p,y,manual,heart
4930,1.016,0.212,0.012,3.13,2.02,2.37,-78.201,86.767,37.505,0,319
4951,1.016,0.212,0.024,4.66,1.32,2.43,-78.146,83.547,37.505,0,316
4972,1.016,0.212,0.016,3.48,1.32,1.6,-78.187,85.69,37.505,0,308
4993,1.004,0.204,0.004,4.87,1.18,2.02,-78.518,88.883,37.505,0,332
5013,1.012,0.208,0.012,4.73,1.25,1.39,-78.373,86.705,37.757,0,394
5035,1.016,0.212,0.016,4.31,0,0.97,-78.344,88.905,38.023,0,245
5055,1.008,0.216,0.012,-1.6,-0.7,2.37,-77.14,82.017,37.951,0,237
5075,1.02,0.2,0.016,8.49,-0.49,1.25,-78.979,98.137,37.851,0,328
5097,1.008,0.22,0,5.98,-1.25,2.5,-77.694,90.007,38.008,0,324
5117,1.028,0.224,0.024,-2.43,2.92,0.63,-77.645,83.891,38.008,0,328
5138,1.008,0.208,0.008,3.48,-0.21,2.64,-78.338,87.804,38.008,0,328
5159,1.016,0.216,0.02,8,-0.83,1.25,-77.954,84.716,38.008,0,335
5180,1.024,0.228,0.008,0.49,0.77,0.07,-77.446,87.997,38.008,0,356
5200,1.008,0.208,0.016,3.13,0.42,1.74,-78.313,85.608,38.238,0,366
5222,1.016,0.204,0,2.16,1.67,2.5,-78.217,88.926,38.03,0,373
5242,1.016,0.216,0.008,0.7,1.88,1.95,-77.925,85.77,38.367,0,366
5263,1.012,0.208,0.004,0.9,2.23,1.53,-77.555,86.94,38.324,0,363
5284,1.024,0.216,0,1.6,3.13,2.23,-78.095,90.007,38.224,0,336
5305,1.016,0.224,0.012,1.81,1.95,3.06,-77.555,86.94,38.224,0,312
5325,1.02,0.228,0.008,0.28,2.02,2.16,-77.398,87.997,38.224,0,302
5346,1.024,0.22,0.016,0.07,1.32,2.02,-77.849,85.847,38.224,0,303
5367,1.012,0.216,0.012,-0.28,0.7,2.23,-77.939,86.827,38.224,0,317
5388,1.012,0.216,0.016,-0.77,1.53,2.3,-77.925,85.77,38.332,0,324
5408,1.02,0.216,0.016,-1.67,1.81,2.92,-78.211,87.845,38.388,0,327
5430,1.012,0.216,0.004,-0.77,1.39,2.71,-78.12,87.845,38.253,0,316
5450,1.008,0.224,0.012,-1.32,0.7,3.62,-77.46,86.94,38.317,0,314
5472,1.012,0.22,0.008,-1.88,0.07,3.27,-77.733,87.924,38.267,0,315
5492,1.012,0.224,0.008,-1.6,0.07,3.83,-77.517,87.961,38.267,0,298
5513,1.016,0.216,0.004,-2.57,0.42,3.55,-78.001,88.946,38.267,0,297
5534,1.004,0.216,0.004,-2.92,-0.56,3.83,-77.862,88.946,38.267,0,298
5555,1.012,0.212,0.004,-2.09,-0.77,2.37,-78.172,88.926,38.267,0,473
5575,1.012,0.216,0.004,-3.41,-0.21,2.71,-77.909,88.946,37.922,0,126
5597,1.02,0.228,0.028,-9.74,0.28,4.1,-77.922,81.579,38.209,0,305
5617,1.012,0.188,-0.024,2.5,0,2.78,-78.729,99.28,38.109,0,338
5638,1.024,0.212,0.044,-3.76,1.46,4.17,-78.067,78.281,37.987,0,338
5659,1.028,0.216,0.008,-8.7,2.57,3.27,-78.132,87.885,37.973,0,334
5680,1.004,0.2,0.02,3.34,-2.3,4.38,-78.685,84.296,37.973,0,334
5700,1.024,0.22,0.012,-0.9,-0.97,2.09,-77.863,86.884,37.973,0,344
5722,1.024,0.22,0.016,-1.81,-0.42,2.16,-77.849,85.847,37.973,0,350
5742,1.02,0.204,0.02,0.42,0.7,3.41,-78.643,84.407,37.973,0,362
5763,1.008,0.212,0.008,-2.57,1.25,3.76,-78.156,86.767,37.973,0,380
5784,1.016,0.2,0.008,-1.74,1.32,2.99,-78.59,86.64,37.694,0,384
5805,1.012,0.196,0.012,-1.25,1.18,3.69,-78.373,86.705,37.845,0,384
5825,1.02,0.2,0.02,0.21,1.81,3.27,-78.858,84.296,37.758,0,364
5847,1.016,0.216,0,-0.56,1.39,3.55,-78.003,90.007,37.879,1,330
5867,1.016,0.208,0.02,-0.9,0.28,3.34,-78.384,84.514,37.915,1,317
5888,1.02,0.2,0.008,-0.28,-0.07,3.62,-78.903,87.716,37.915,1,313
5909,1.024,0.204,0.012,-0.28,-0.63,3.83,-78.72,86.64,37.915,1,312
5929,1.02,0.208,0.008,-0.14,-0.97,3.76,-78.903,87.716,37.915,1,314
5950,1.016,0.204,0.004,-0.83,-0.42,4.87,-78.609,90.007,37.915,1,331
5971,1.012,0.204,0,-0.63,-0.77,4.17,-78.65,88.883,37.737,1,328
5992,1.012,0.2,0,-1.74,-1.25,5.08,-78.827,90.007,37.572,1,327
