Timestamp,ESP32_Data,Manual
1759045457.6183424,"-0.036,0.004,0.912,1.530,1.322,2.922,0.251,-89.807,272.195,712",0
1759045457.6403425,"-0.036,0.004,0.912,1.183,1.391,2.852,0.000,-89.809,272.395,2015",0
1759045457.662343,"-0.036,0.000,0.904,1.461,1.252,2.991,0.000,-89.809,272.024,4095",0
1759045457.684352,"-0.032,0.000,0.904,1.461,1.391,2.991,0.000,-89.809,272.024,1678",0
1759045457.706353,"-0.032,0.000,0.904,1.322,1.183,3.061,0.000,-89.809,272.024,814",0
1759045457.728869,"-0.036,-0.004,0.908,1.183,1.113,2.922,89.808,-45.000,272.024,3646",0
1759045457.750869,"-0.036,-0.004,0.908,1.252,1.183,2.852,89.807,-44.999,272.024,3050",0
1759045457.7728689,"-0.040,-0.004,0.912,1.530,1.183,2.922,89.807,-44.999,272.024,591",0
1759045457.7948692,"-0.040,-0.004,0.912,1.461,1.252,2.991,0.000,-89.809,272.024,2447",0
1759045457.8168693,"-0.036,0.000,0.904,1.461,1.043,2.991,0.000,-89.809,272.024,4030",0
1759045457.838869,"-0.032,0.000,0.904,1.252,1.043,3.339,0.000,-89.809,272.024,1279",0
1759045457.8608692,"-0.032,0.000,0.904,1.183,1.183,3.339,89.810,-45.000,272.024,1148",0
1759045457.8828688,"-0.032,-0.004,0.900,1.183,1.183,2.991,89.810,-45.000,272.024,3951",0
1759045457.9048693,"-0.032,-0.004,0.900,1.252,1.113,2.713,0.000,-89.808,272.024,2574",0
1759045457.9268692,"-0.036,0.000,0.908,1.461,0.904,2.991,0.000,-89.808,272.024,556",0
1759045457.9488688,"-0.036,0.000,0.904,1.252,0.765,2.922,0.000,-89.809,272.024,2878",0
1759045457.9708688,"-0.036,0.000,0.904,1.391,1.043,3.130,0.000,-89.809,272.024,3838",0
1759045457.9928696,"-0.036,-0.004,0.908,1.600,1.113,3.130,89.808,-45.000,272.024,973",0
1759045458.0148818,"-0.036,-0.004,0.908,1.530,1.113,3.130,0.000,-89.809,272.024,1510",0
1759045458.0368853,"-0.028,0.000,0.904,1.461,1.113,3.130,0.000,-89.809,272.024,4095",1
1759045458.0588813,"-0.036,0.000,0.912,1.530,1.043,2.783,0.000,-89.807,272.941,2204",1
1759045458.0808818,"-0.036,0.000,0.912,2.017,0.904,2.713,0.000,-89.807,273.506,602",1
1759045458.1028812,"-0.036,0.000,0.896,1.461,0.835,3.200,0.000,-89.811,272.427,3197",1
1759045458.1248946,"-0.036,0.000,0.896,1.391,1.252,3.061,89.809,-45.000,270.915,3529",1
