Time,ax,ay,az,gx,gy ,gz ,r ,p,y,manual,heart
4439,1.036,0.24,-0.108,-3.97,-2.37,1.25,-75.752,114.236,40.401,0,347
4459,1.044,0.22,-0.1,-2.57,-4.17,-0.49,-76.973,114.452,40.401,0,357
4480,1.032,0.172,-0.076,-1.67,-3.9,-2.99,-79.679,113.847,40.526,0,361
4501,1.012,0.188,-0.08,-4.73,-4.59,-3.48,-78.592,113.06,40.647,0,358
4521,1.016,0.196,-0.06,-0.83,-6.26,0.07,-78.599,107.028,40.704,0,365
4543,1.016,0.224,-0.08,-1.46,-4.1,4.17,-75.739,112.972,40.743,0,356
4563,0.996,0.22,-0.116,-2.78,0.35,3.27,-77.938,118.018,40.816,0,358
4584,0.984,0.152,-0.08,5.01,0.63,-2.02,-81.047,111.259,40.816,0,347
4605,1.004,0.184,-0.092,3.62,1.88,-3.83,-78.426,116.574,40.816,0,348
4626,1.064,0.236,-0.044,1.39,-1.11,-0.97,-77.291,100.568,40.816,0,350
4647,1.088,0.236,-0.068,3.69,-2.37,1.53,-77.285,106.081,40.816,0,407
4668,1.052,0.212,-0.06,5.08,0.83,3.13,-78.177,105.81,41.092,0,321
4688,1.024,0.204,-0.092,6.89,-0.9,5.77,-77.678,114.283,41.029,0,289
4710,1.028,0.224,-0.06,8.35,-3.34,8.49,-75.816,113.79,41.092,0,331
4730,1.032,0.248,-0.136,4.45,3.41,6.05,-75.766,102.162,41.161,0,333
4752,1.04,0.244,-0.056,4.94,5.36,4.94,-77.471,110.331,41.19,0,326
4772,1.028,0.204,-0.104,10.23,-0.35,6.89,-77.448,117.021,41.19,0,324
4794,1.06,0.216,-0.032,13.01,1.39,4.8,-78.366,98.434,41.19,0,331
4814,1.02,0.196,-0.036,16.49,2.99,4.1,-78.951,100.415,41.19,0,345
4835,1.02,0.184,-0.056,16.63,2.57,6.75,-79.327,106.935,41.19,0,349
4856,1.044,0.224,-0.064,11.41,5.01,10.23,-77.427,105.953,41.01,0,365
4877,1.02,0.252,-0.076,8.35,5.15,10.3,-75.186,108.443,40.847,0,354
4898,1.008,0.232,-0.084,7.3,6.75,10.99,-76.102,109.6,40.879,0,334
4919,1.02,0.232,-0.088,6.96,4.31,10.02,-76.112,111.306,40.641,0,312
4940,1.028,0.24,-0.084,3.06,3.41,8.7,-76.112,109.298,40.64,0,287
4961,1.02,0.22,-0.08,3.41,4.87,7.23,-77.08,109.991,40.64,0,286
4982,1.02,0.22,-0.064,3.9,3.41,7.17,-77.346,106.228,40.64,0,285
5003,1.036,0.22,-0.084,0.97,5.91,6.61,-77.2,110.906,40.64,0,290
5023,1.028,0.208,-0.08,-0.56,4.66,7.79,-77.774,111.046,40.64,0,294
5045,1.024,0.2,-0.064,-3.34,4.94,8.49,-78.281,112.212,40.425,0,291
5065,1.02,0.2,-0.08,-4.73,4.66,9.74,-78.74,108.443,40.172,0,287
5087,1.016,0.184,-0.064,0.63,4.03,10.09,-79.303,108.068,40.312,0,287
5107,1.008,0.176,-0.068,0.07,3.13,10.16,-79.404,111.133,40.235,0,275
5128,1.016,0.176,-0.06,-0.56,2.92,9.95,-79.634,108.833,40.056,0,260
5149,1.008,0.168,-0.064,4.52,-0.14,10.02,-79.893,110.863,40.056,0,250
5170,1.036,0.176,-0.052,4.94,1.18,8.97,-79.961,106.468,40.056,0,251
5191,1.04,0.176,-0.036,5.29,0.28,9.74,-80.206,101.568,40.056,0,248
5212,1.032,0.18,-0.068,0.14,1.81,9.46,-79.444,110.704,40.056,0,273
5232,1.04,0.188,-0.08,-1.95,3.55,8.9,-78.355,112.791,39.815,0,281
5254,1.056,0.208,-0.084,-2.09,5.77,7.23,-78.341,108.112,39.551,0,284
5274,1.036,0.188,-0.076,-3.97,5.29,3.27,-78.931,112.02,39.156,0,285
5296,1.032,0.156,-0.076,-6.82,5.57,0.42,-80.461,115.983,39.22,0,340
5316,1.032,0.136,-0.056,-7.03,4.17,-1.11,-81.895,112.388,39.206,0,291
5338,1.016,0.14,-0.032,-4.38,2.16,-0.77,-81.961,102.883,39.22,0,209
5358,1.04,0.152,-0.052,-5.29,2.85,-1.25,-81.225,108.894,39.22,0,303
