Time,ax,ay,az,gx,gy ,gz ,r ,p,y,manual,heart
3737,0.992,0.256,0.156,2.02,-1.95,0.9,-73.039,60.729,43.503,0,8
3758,0.996,0.264,0.148,1.6,-2.78,0.35,-72.962,63.44,43.503,0,7
3778,0.984,0.28,0.14,-0.07,-3.83,1.11,-72.357,63.44,43.503,0,7
3799,0.988,0.292,0.152,3.06,-5.5,-0.28,-71.578,62.505,43.503,0,8
3820,0.98,0.3,0.128,1.74,-4.66,-1.11,-71.597,66.899,43.503,0,10
3841,0.972,0.316,0.112,-3.13,-2.85,-0.83,-70.975,70.489,43.69,0,9
3861,0.964,0.3,0.124,-2.57,-3.76,-2.99,-71.395,67.548,43.715,0,10
3881,0.964,0.276,0.128,2.85,-3.13,-4.87,-72.49,65.124,43.604,0,9
3903,0.988,0.268,0.128,1.53,-2.43,-4.45,-73.151,63.099,43.77,0,8
3923,1,0.272,0.14,1.39,-1.81,-2.78,-73.06,62.769,43.741,0,8
3944,1,0.268,0.148,6.96,-1.18,-1.95,-73.588,64.475,43.741,0,7
3964,1.008,0.276,0.092,4.87,-2.09,1.18,-72.411,67.275,43.741,0,7
3986,1.008,0.304,0.144,-3.69,1.95,0.97,-71.551,64.659,43.741,0,8
4006,0.968,0.284,0.112,0.28,1.81,0.21,-72.501,68.482,43.741,0,9
4027,0.98,0.272,0.124,5.84,1.04,1.25,-73.042,65.497,43.983,0,93
4047,0.984,0.272,0.116,5.57,1.6,2.78,-73.279,66.908,44.096,0,149
4069,0.976,0.284,0.12,5.29,2.3,4.59,-72.474,67.099,44.265,0,196
4089,0.964,0.304,0.112,4.94,3.9,4.24,-71.429,69.78,44.321,0,236
4110,0.964,0.304,0.108,6.05,3.48,2.71,-71.458,67.937,44.212,0,226
4131,0.956,0.292,0.116,5.57,2.5,4.38,-71.63,69.533,44.193,0,240
4152,0.98,0.312,0.12,2.23,1.6,5.36,-70.436,68.448,44.193,0,230
4172,0.976,0.332,0.12,-0.14,1.32,4.17,-70.12,70.133,44.193,0,219
4194,0.976,0.324,0.14,-0.83,-0.35,2.37,-70.124,66.636,44.193,0,234
4214,0.984,0.316,0.116,-2.78,0.35,1.95,-71.12,69.848,44.189,0,292
4235,0.976,0.3,0.148,-5.84,1.32,1.95,-71.086,63.746,44.196,0,337
4256,0.976,0.296,0.112,-3.2,2.57,2.92,-72.039,69.28,44.401,0,371
4277,0.984,0.284,0.128,-1.53,0.9,3.97,-72.418,65.076,44.384,0,390
4297,0.992,0.284,0.136,-2.3,1.53,4.24,-72.87,64.764,44.097,0,377
4319,1.008,0.28,0.136,-2.37,2.43,4.38,-72.661,60.169,44.074,0,354
4339,0.996,0.28,0.144,-1.67,2.99,4.8,-72.462,62.789,44.074,0,368
4360,0.992,0.28,0.136,-1.04,3.48,6.05,-72.584,64.098,44.074,0,380
4381,0.976,0.28,0.144,0.35,2.85,5.7,-72.126,62.789,44.074,0,383
